Alexis Lafreniere,"[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Tim Stuetzle,"[0.0, 49.84, 37.87, 12.29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Quinton Byfield,"[0.0, 24.57, 31.619999999999997, 32.53, 11.28, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cole Perfetti,"[0.0, 0.0, 0.0, 11.25, 18.94, 16.99, 26.650000000000002, 26.169999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Jamie Drysdale,"[0.0, 0.0, 12.36, 18.83, 34.19, 26.040000000000003, 8.58, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Jack Quinn,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.92, 9.180000000000001, 15.229999999999999, 18.75, 17.65, 13.96, 8.709999999999999, 5.489999999999999, 3.46, 2.16, 1.16, 0.83, 0.3, 0.12, 0.06, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Yaroslav Askarov,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.73, 2.77, 6.17, 17.849999999999998, 24.709999999999997, 21.52, 12.540000000000001, 6.77, 3.5900000000000003, 1.6099999999999999, 0.88, 0.47000000000000003, 0.25, 0.06999999999999999, 0.04, 0.02, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Marco Rossi,"[0.0, 0.0, 0.0, 11.3, 24.88, 28.63, 17.51, 11.77, 4.36, 1.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Lucas Raymond,"[0.0, 25.590000000000003, 18.15, 13.8, 10.71, 11.72, 9.09, 5.4, 3.37, 1.54, 0.38999999999999996, 0.2, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Hendrix Lapierre,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7399999999999998, 4.41, 7.89, 12.93, 12.629999999999999, 12.11, 10.37, 8.55, 7.249999999999999, 5.46, 4.24, 3.44, 2.7199999999999998, 2.0, 1.87, 1.22, 0.72, 0.31, 0.09, 0.05, 0.0, 0.0]"
